start_date,strt_statn,gender,start_station_name,start_stn_municipality
10/20/2012 17:54,75,Female,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:55,96,,Cambridge Main Library at Broadway / Trowbridge St,Cambridge
10/20/2012 17:55,32,,Landmark Centre,Boston
10/20/2012 17:55,102,,Boston Medical Center -  East Concord at Harrison Ave,Boston
10/20/2012 17:55,66,Female,Allston Green District - Commonwealth Ave & Griggs St,Boston
10/20/2012 17:55,52,Male,Newbury St / Hereford St,Boston
10/20/2012 17:55,32,,Landmark Centre,Boston
10/20/2012 17:56,52,,Newbury St / Hereford St,Boston
10/20/2012 17:56,52,,Newbury St / Hereford St,Boston
10/20/2012 17:56,5,Male,Northeastern U / North Parking Lot,Boston
10/20/2012 17:59,52,,Newbury St / Hereford St,Boston
10/20/2012 17:57,52,,Newbury St / Hereford St,Boston
10/20/2012 17:58,16,,Back Bay / South End Station,Boston
10/20/2012 17:59,98,,Charlestown - Warren St at Chelsea St,Boston
10/20/2012 17:59,46,,Christian Science Plaza,Boston
10/20/2012 17:59,42,,Boylston St. at Arlington St.,Boston
10/20/2012 17:59,42,,Boylston St. at Arlington St.,Boston
10/20/2012 18:01,113,,Charles Circle - Charles St. at Cambridge St.,Boston
10/20/2012 18:00,16,,Back Bay / South End Station,Boston
10/20/2012 18:02,113,,Charles Circle - Charles St. at Cambridge St.,Boston
10/20/2012 18:00,16,,Back Bay / South End Station,Boston
10/20/2012 17:59,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:59,4,Male,Tremont St. at Berkeley St.,Boston
10/20/2012 18:01,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 18:00,98,,Charlestown - Warren St at Chelsea St,Boston
10/20/2012 18:01,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 18:00,3,Male,Colleges of the Fenway,Boston
10/20/2012 18:01,47,Male,Cross St. at Hanover St.,Boston
10/20/2012 18:01,47,Female,Cross St. at Hanover St.,Boston
10/20/2012 18:01,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:02,54,,Tremont St / West St,Boston
10/20/2012 18:02,67,,MIT at Mass Ave / Amherst St,Cambridge
