start_date,end_statn,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-13,67,,Harvard Square at Brattle St / Eliot St,MIT at Mass Ave / Amherst St,Cambridge,Cambridge
July-13,113,Male,Inman Square at Vellucci Plaza / Hampshire St,Charles Circle - Charles St. at Cambridge St.,Cambridge,Boston
July-13,25,Male,Back Bay / South End Station,Tremont St / W Newton St,Boston,Boston
July-13,80,Male,MIT at Mass Ave / Amherst St,MIT Stata Center at Vassar St / Main St,Cambridge,Cambridge
July-13,16,Male,Brigham Cir / Huntington Ave,Back Bay / South End Station,Boston,Boston
July-13,67,,Harvard Square at Brattle St / Eliot St,MIT at Mass Ave / Amherst St,Cambridge,Cambridge
July-13,54,Male,MIT at Mass Ave / Amherst St,Tremont St / West St,Cambridge,Boston
July-13,67,,Harvard Square at Brattle St / Eliot St,MIT at Mass Ave / Amherst St,Cambridge,Cambridge
July-13,91,Male,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,One Kendall Square at Hampshire St / Portland St,Cambridge,Cambridge
July-13,16,Male,Boylston at Fairfield,Back Bay / South End Station,Boston,Boston
July-13,48,Male,Tremont St. at Berkeley St.,Post Office Square,Boston,Boston
July-13,20,,Lower Cambridgeport at Magazine St/Riverside Rd,Aquarium Station - 200 Atlantic Ave.,Cambridge,Boston
July-13,138,Male,Union Square - Somerville,Wilson Square,Somerville,Somerville
July-13,112,Female,One Broadway / Kendall Sq at Main St / 3rd St,Franklin St. / Arch St.,Cambridge,Boston
July-13,49,,Yawkey Way at Boylston St.,Stuart St. at Charles St.,Boston,Boston
July-13,20,,Lower Cambridgeport at Magazine St/Riverside Rd,Aquarium Station - 200 Atlantic Ave.,Cambridge,Boston
July-13,42,Male,Lewis Wharf - Atlantic Ave.,Boylston St. at Arlington St.,Boston,Boston
July-13,58,,Boylston St / Berkeley St,The Esplanade - Beacon St. at Arlington St.,Boston,Boston
July-13,98,Female,TD Garden - Causeway at Portal Park #2,Charlestown - Warren St at Chelsea St,Boston,Boston
July-13,58,Male,The Esplanade - Beacon St. at Arlington St.,The Esplanade - Beacon St. at Arlington St.,Boston,Boston
July-13,17,Male,Harvard Kennedy School at Bennett St / Eliot St,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Cambridge,Boston
July-13,71,Female,Kendall T at Main St,Conway Park - Somerville Avenue,Cambridge,Somerville
July-13,80,,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,MIT Stata Center at Vassar St / Main St,Cambridge,Cambridge
July-13,50,Female,Tremont St. at Berkeley St.,Boylston St / Berkeley St,Boston,Boston
July-13,76,Male,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,Cambridge
July-13,14,Female,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,Boston
July-13,43,Male,Franklin St. / Arch St.,Rowes Wharf - Atlantic Ave,Boston,Boston
July-13,40,,Aquarium Station - 200 Atlantic Ave.,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-13,39,Male,Prudential Center / Belvidere,Washington St. at Rutland St.,Boston,Boston
July-13,113,Female,Stuart St. at Charles St.,Charles Circle - Charles St. at Cambridge St.,Boston,Boston
July-13,40,,Aquarium Station - 200 Atlantic Ave.,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-13,139,,Beacon St at Washington / Kirkland,Davis Square,Somerville,Somerville
July-13,44,,Tremont St / West St,Faneuil Hall - Union St. at North St.,Boston,Boston
July-13,75,Male,Harvard Square at Mass Ave/ Dunster,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,Cambridge
July-13,79,Male,Inman Square at Vellucci Plaza / Hampshire St,Beacon St at Washington / Kirkland,Cambridge,Somerville
